"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2322","Переход на страницу корзины со страницы создания аккаунта","tests","Sun Mar 15 10:23:33 UTC 2026","passed","Sun Mar 15 10:23:35 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","4877","Поиск несуществующего товара на главной странице","tests","Sun Mar 15 10:23:31 UTC 2026","passed","Sun Mar 15 10:23:36 UTC 2026","TestMainPage","Главная страница","",""
"","5812","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:24:50 UTC 2026","passed","Sun Mar 15 10:24:56 UTC 2026","TestProductPage","Страница товара","",""
"","18536","Цена стола из алюминия отличается от дефолтной","tests","Sun Mar 15 10:24:44 UTC 2026","passed","Sun Mar 15 10:25:02 UTC 2026","TestProductPage","Страница товара","",""
"","2385","Комиссия (налог) на несколько товаров должна составлять 15 процентов от общей стоимости","tests","Sun Mar 15 10:25:12 UTC 2026","passed","Sun Mar 15 10:25:15 UTC 2026","TestCartPage","Корзина","",""
"","2060","Проверка плэйсхолдеров формы авторизации","tests","Sun Mar 15 10:23:16 UTC 2026","passed","Sun Mar 15 10:23:18 UTC 2026","TestLoginPage","Страница логина","",""
"","4610","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:24:36 UTC 2026","passed","Sun Mar 15 10:24:41 UTC 2026","TestProductPage","Страница товара","",""
"","4331","Наименование и цена товара в модалке корректные","tests","Sun Mar 15 10:24:47 UTC 2026","passed","Sun Mar 15 10:24:51 UTC 2026","TestProductPage","Страница товара","",""
"","49603","Наименование товара в корзине меняется в соответствии с опциями","tests","Sun Mar 15 10:26:31 UTC 2026","passed","Sun Mar 15 10:27:21 UTC 2026","TestProductPage","Страница товара","",""
"","2654","Проверка плэйсхолдера в инпуте поиска товара","tests","Sun Mar 15 10:23:15 UTC 2026","passed","Sun Mar 15 10:23:18 UTC 2026","TestMainPage","Главная страница","",""
"","12450","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:25:06 UTC 2026","passed","Sun Mar 15 10:25:19 UTC 2026","TestProductPage","Страница товара","",""
"","4937","Поиск товара на главной странице","tests","Sun Mar 15 10:23:26 UTC 2026","passed","Sun Mar 15 10:23:31 UTC 2026","TestMainPage","Главная страница","",""
"","4187","Отображается сообщение ""Корзина пуста"" после удаления единственного товара из козины","tests","Sun Mar 15 10:25:01 UTC 2026","passed","Sun Mar 15 10:25:05 UTC 2026","TestCartPage","Корзина","",""
"","5728","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:24:25 UTC 2026","passed","Sun Mar 15 10:24:31 UTC 2026","TestProductPage","Страница товара","",""
"","37036","Наименование товара в корзине меняется в соответствии с опциями","tests","Sun Mar 15 10:26:03 UTC 2026","passed","Sun Mar 15 10:26:40 UTC 2026","TestProductPage","Страница товара","",""
"","786","Итоговая стоимость одной единицы товара без комиссии должна быть корректной","tests","Sun Mar 15 10:23:46 UTC 2026","passed","Sun Mar 15 10:23:47 UTC 2026","TestCartPage","Корзина","",""
"","1418","Итоговая стоимость нескольких товаров с учетом комиссии должна быть корректной","tests","Sun Mar 15 10:24:49 UTC 2026","passed","Sun Mar 15 10:24:51 UTC 2026","TestCartPage","Корзина","",""
